product_name,revenue,pct_kumulatif
Mesin Kopi Espresso Rumahan,640217900,12.1
Food Processor,447392900,20.6
Oven Listrik 20 L,296670000,26.3
Air Fryer 4 L,246153600,30.9
Kompor Induksi,237592800,35.4
Juicer Elektrik,201632000,39.3
Panci Presto 8 Liter,173338500,42.6
Panci Set 3 pcs,172320000,45.8
Rice Cooker 1.8 L,146441000,48.6
Blender Kaca 2 L,145435000,51.4
Vacuum Sealer,144951200,54.1
Kompor Gas 2 Tungku,142420000,56.8
Panci Kukus 3 Susun,135122000,59.4
Rak Piring Stainless 2 Susun,104460000,61.4
Mixer Tangan,101549800,63.3
Ketel Listrik 1.7 L,99958300,65.2
Sendok Garpu Set 24 pcs,93753000,67.0
Rak Serbaguna Dapur,92850000,68.7
Piring Keramik Set 6 pcs,81645000,70.3
Panci Stainless 20 cm,80045000,71.8
Chopper Elektrik,78628000,73.3
Wajan Deep Fry Pan 28 cm,77125000,74.7
Mangkuk Keramik Set 6 pcs,76605500,76.2
Wajan Anti Lengket 24 cm,69030000,77.5
French Press 600 ml,67473900,78.8
Set Pisau Dapur 6 pcs,65588500,80.0
