customer,avg_gap
Customer_3,9.9
Customer_9,10.1
Customer_5,11.0
Customer_6,12.7
Customer_4,12.7
Customer_10,13.1
Customer_2,14.8
Customer_7,14.9
Customer_8,15.3
Customer_1,15.8
Customer_187,18.5
Customer_31,18.8
Customer_17,18.8
Customer_45,19.1
Customer_496,19.5
Customer_15,20.0
Customer_18,20.2
Customer_59,20.5
Customer_19,20.6
Customer_211,20.8
Customer_24,21.2
Customer_56,21.3
Customer_22,21.7
Customer_58,21.8
Customer_20,21.9
Customer_41,22.1
Customer_70,22.3
Customer_445,22.4
Customer_68,22.5
Customer_84,22.7
Customer_67,23.1
Customer_26,23.4
Customer_42,23.5
Customer_40,23.6
Customer_138,23.7
Customer_21,23.9
Customer_27,24.3
Customer_46,24.4
Customer_52,24.7
Customer_34,26.4
Customer_43,26.4
Customer_48,26.5
Customer_37,26.8
Customer_62,27.1
Customer_47,27.8
Customer_25,27.8
Customer_333,27.8
Customer_28,27.9
Customer_61,28.2
Customer_179,28.8
Customer_50,29.0
Customer_57,29.0
Customer_55,29.1
Customer_36,29.2
Customer_29,29.5
Customer_63,30.3
Customer_441,30.6
Customer_60,30.7
Customer_462,30.7
Customer_373,30.8
Customer_425,31.0
Customer_44,31.1
Customer_53,31.2
Customer_51,31.8
Customer_203,32.2
Customer_436,32.2
Customer_14,32.5
Customer_64,32.5
Customer_30,32.9
Customer_205,33.0
Customer_139,33.7
Customer_69,33.9
Customer_104,34.0
Customer_484,34.8
Customer_452,34.8
Customer_39,34.9
Customer_11,34.9
Customer_35,35.1
Customer_475,35.2
Customer_32,35.4
Customer_13,35.7
Customer_16,36.0
Customer_23,36.1
Customer_12,36.6
Customer_38,37.2
Customer_477,37.6
Customer_511,37.6
Customer_33,37.8
Customer_278,38.0
Customer_406,38.0
Customer_66,38.4
Customer_54,39.3
Customer_300,39.3
Customer_89,39.6
Customer_255,39.6
Customer_117,40.0
Customer_49,40.0
Customer_491,40.2
Customer_509,40.5
Customer_162,41.0
Customer_166,41.2
Customer_315,41.3
Customer_94,42.3
Customer_290,42.4
Customer_377,42.6
Customer_451,42.8
Customer_392,43.7
Customer_512,44.0
Customer_489,44.6
Customer_130,44.6
Customer_87,44.8
Customer_65,45.1
Customer_160,45.2
Customer_145,45.2
Customer_114,45.2
Customer_118,45.3
Customer_208,45.4
Customer_297,45.8
Customer_321,46.0
Customer_437,46.4
Customer_147,47.7
Customer_288,48.2
Customer_426,48.4
Customer_455,48.8
Customer_468,48.8
Customer_275,49.0
Customer_485,49.7
Customer_188,49.8
Customer_240,50.5
Customer_111,50.6
Customer_270,51.0
Customer_281,51.0
Customer_292,51.4
Customer_123,51.8
Customer_424,52.5
Customer_497,52.5
Customer_432,52.8
Customer_115,52.8
Customer_316,52.8
Customer_112,53.0
Customer_319,53.0
Customer_442,53.2
Customer_99,54.0
Customer_299,54.0
Customer_277,54.3
Customer_95,54.5
Customer_73,54.8
Customer_397,54.8
Customer_170,55.2
Customer_390,55.2
Customer_368,55.7
Customer_100,55.8
Customer_376,55.8
Customer_285,56.4
Customer_352,56.5
Customer_169,57.0
Customer_259,57.2
Customer_472,57.4
Customer_293,57.8
Customer_207,58.0
Customer_133,58.2
Customer_343,59.0
Customer_243,59.6
Customer_334,60.2
Customer_331,60.2
Customer_120,60.2
Customer_105,60.6
Customer_347,60.8
Customer_200,61.4
Customer_411,61.6
Customer_176,62.2
Customer_250,62.8
Customer_209,63.0
Customer_444,63.0
Customer_116,63.0
Customer_401,63.4
Customer_262,64.0
Customer_466,64.2
Customer_157,64.8
Customer_458,64.8
Customer_173,65.0
Customer_165,65.4
Customer_474,65.4
Customer_88,65.6
Customer_263,67.2
Customer_178,67.6
Customer_171,68.2
Customer_71,69.2
Customer_190,69.6
Customer_391,70.2
Customer_336,70.2
